Mesh ID,Cross-section type,Pressure,Pore Area
3_2,circular,1.6,15.918500000000002
3_4,oval,0.0,23.2073
2_6a,circular,1.4,17.276100000000003
1_3,oval,1.6,49.8933
1_4,circular,0.0,42.68
1_4,circular,0.1,42.828500000000005
2_6a,circular,1.5,16.887
1_3,oval,1.7,49.8935
3_4,oval,0.1,28.149
3_2,circular,1.7,15.4501
1_4,oval,1.7,44.52400000000001
3_2,oval,0.6,27.2233
1_6,oval,1.8,68.7427
1_6,circular,1.9,44.7609
2_3,oval,0.5,79.0899
2_6a,oval,0.4,26.1039
1_2,oval,1.0,46.3622
2_1,circular,1.3,70.6891
1_8,oval,0.7,67.7159
1_5,circular,1.3,42.0287
3_6,circular,1.3,32.5406
1_5,oval,1.0,54.4196
1_5,oval,1.2,54.5211
3_6,circular,1.1,34.0313
1_5,circular,1.1,43.2496
1_8,oval,0.5,67.7101
2_1,circular,1.1,71.2346
1_2,oval,1.2,46.5028
2_6a,oval,0.6,26.5235
2_3,oval,0.7,79.89620000000001
3_2,oval,0.4,27.4531
3_4,circular,0.9,22.0487
1_4,oval,1.5,44.801500000000004
2_1,oval,0.8,78.8122
3_2,circular,1.5,16.3922
3_4,oval,0.3,28.6691
2_3,circular,0.9,71.9783
1_3,oval,1.5,49.8793
2_6a,circular,1.7,16.1128
1_4,circular,0.3,42.188100000000006
1_4,circular,0.2,42.547
3_4,oval,2.0,21.3048
1_3,oval,1.4,49.8333
2_6a,circular,1.6,16.4883
2_3,circular,0.8,72.3612
1_4,circular,2.0,34.7415
3_4,oval,0.2,28.701700000000002
3_2,circular,1.4,16.8841
2_1,oval,0.9,79.08760000000001
3_4,circular,0.8,22.708099999999998
1_4,oval,1.4,44.9147
3_2,oval,0.5,27.373
2_3,oval,0.6,79.5346
2_6a,oval,0.7,26.6496
1_2,oval,1.3,46.544700000000006
2_1,circular,1.0,71.5167
3_6,circular,1.0,34.8192
1_8,oval,0.4,67.6195
1_5,circular,1.0,43.8732
1_5,oval,1.3,54.531099999999995
2_6a,circular,0.1,22.542200000000005
1_3,oval,0.3,47.882600000000004
1_4,circular,1.5,36.717400000000005
1_2,circular,0.9,37.3063
1_8,circular,1.8,58.89150000000001
3_2,circular,0.3,23.5257
1_4,oval,0.3,44.875299999999996
3_4,oval,1.5,23.2821
2_6a,oval,1.0,26.889200000000002
1_2,oval,0.4,44.9358
2_7,oval,1.9,60.106500000000004
3_2,oval,1.2,25.7666
2_3,oval,1.1,80.89750000000001
1_5,circular,0.7,45.789899999999996
1_8,oval,1.3,67.1266
3_6,circular,0.7,37.4361
1_5,oval,0.4,53.1778
2_1,circular,0.7,72.316
2_1,circular,0.6,72.55630000000001
1_5,oval,0.5,53.5495
1_8,oval,1.2,67.2692
1_5,circular,0.6,46.433
3_6,circular,0.6,38.406
2_3,oval,1.0,80.7003
3_2,oval,1.3,25.4833
2_7,oval,1.8,60.257799999999996
1_2,oval,0.5,45.318000000000005
2_6a,oval,1.1,26.928800000000003
3_4,oval,1.4,23.734
1_3,oval,2.0,49.9062
1_4,oval,0.2,44.5025
3_2,circular,0.2,23.969900000000003
1_8,circular,1.9,58.4978
1_2,circular,0.8,37.8173
1_4,circular,1.4,37.1556
2_6a,circular,0.0,21.1879
1_4,oval,2.0,44.156800000000004
1_3,oval,0.2,47.3136
3_2,circular,2.0,14.1789
1_3,oval,0.0,45.121300000000005
2_6a,circular,0.2,22.417400000000004
1_4,circular,1.6,36.295500000000004
3_2,circular,0.0,21.2485
2_6a,circular,2.0,15.040000000000001
1_4,oval,0.0,42.68
3_4,oval,1.6,22.8638
3_6,oval,1.9,47.25730000000001
2_6a,oval,1.3,26.9373
1_2,oval,0.7,45.849000000000004
3_2,oval,1.1,26.0339
2_3,oval,1.2,81.0707
3_6,circular,0.4,40.3434
1_5,circular,0.4,47.6341
1_8,oval,1.0,67.5003
1_5,oval,0.7,54.069300000000005
1_3,circular,1.8,38.0985
2_7,circular,1.8,43.325
2_1,circular,0.4,72.99940000000001
2_1,circular,0.5,72.7658
2_7,circular,1.9,42.890299999999996
1_5,oval,0.6,53.841800000000006
1_3,circular,1.9,37.716800000000006
3_6,circular,0.5,39.372400000000006
1_8,oval,1.1,67.38250000000001
1_5,circular,0.5,47.0268
2_3,oval,1.3,81.2243
3_2,oval,1.0,26.305500000000002
1_2,oval,0.6,45.631400000000006
2_6a,oval,1.2,26.9377
3_6,oval,1.8,47.580200000000005
3_4,oval,1.7,22.452600000000004
1_4,oval,0.1,43.9521
3_2,circular,0.1,24.0691
1_4,circular,1.7,35.8932
1_3,oval,0.1,46.577
2_6a,circular,0.3,22.0892
2_6a,circular,0.7,20.3626
1_3,oval,0.5,48.6484
1_4,circular,1.3,37.5871
1_4,oval,0.5,45.2786
3_4,circular,1.9,16.686200000000003
2_1,oval,1.8,80.65190000000001
3_2,circular,0.5,22.277000000000005
3_4,oval,1.3,24.170700000000004
2_3,circular,1.9,68.46430000000001
1_2,oval,0.2,43.825
1_5,oval,2.0,54.3641
2_6a,oval,1.6,26.905500000000004
2_3,oval,1.7,81.6854
3_2,oval,1.4,25.236
1_5,oval,0.2,52.00690000000001
1_2,oval,2.0,46.6324
1_5,circular,0.1,49.0858
1_8,oval,1.5,66.8366
3_6,circular,0.1,42.2734
2_1,circular,0.1,73.4355
2_1,circular,0.0,73.4509
1_8,oval,1.4,66.9799
1_5,circular,0.0,49.01400000000001
3_6,circular,0.0,37.5268
1_5,oval,0.3,52.678000000000004
3_2,oval,1.5,24.9434
2_3,oval,1.6,81.592
2_6a,oval,1.7,26.8877
1_2,oval,0.3,44.4511
2_3,circular,1.8,68.7882
3_4,oval,1.2,24.6352
3_2,circular,0.4,22.9227
2_1,oval,1.9,80.78
1_4,oval,0.4,45.127
3_4,circular,1.8,17.1328
1_4,circular,1.2,38.0313
2_6a,circular,0.6,20.8165
1_3,oval,0.4,48.3196
1_3,oval,0.6,48.918000000000006
2_6a,circular,0.4,21.681900000000002
1_4,circular,1.0,38.958600000000004
1_4,oval,0.6,45.3525
3_2,circular,0.6,21.5969
3_4,oval,1.0,25.596100000000003
1_2,oval,0.1,42.965500000000006
2_6a,oval,1.5,26.9338
1_5,circular,2.0,38.2272
3_6,circular,2.0,28.2481
2_3,oval,1.4,81.3477
1_6,circular,0.8,51.9014
2_1,circular,2.0,68.9372
1_6,oval,0.9,69.6448
3_2,oval,1.7,24.4144
1_5,oval,0.1,51.0645
3_6,circular,0.2,42.012
1_5,circular,0.2,48.682
1_8,oval,1.6,66.6878
2_1,circular,0.2,73.3332
2_1,circular,0.3,73.1888
3_6,circular,0.3,41.271499999999996
1_8,oval,1.7,66.52340000000001
1_5,circular,0.3,48.2077
1_5,oval,0.0,49.01400000000001
3_2,oval,1.6,24.677000000000003
1_6,oval,0.8,69.5988
2_3,oval,1.5,81.47760000000001
1_6,circular,0.9,51.1313
2_6a,oval,1.4,26.9506
1_2,oval,0.0,40.97390000000001
3_4,oval,1.1,25.1123
3_2,circular,0.7,20.9507
1_4,oval,0.7,45.408
1_4,circular,1.1,38.4851
1_3,oval,0.7,49.1545
2_6a,circular,0.5,21.258200000000002
