Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_5,circular,0.9,[np.float64(2.4080604627808717)],5757.554429982941
1_5,circular,1.8,[np.float64(1.5992848538857571)],6172.217179834006
1_5,circular,1.9,[np.float64(1.601359060835615)],6220.33238791422
1_5,circular,1.4,[np.float64(2.2582218265596796)],5983.906581202173
1_5,circular,1.5,[np.float64(2.235975587486985)],6030.3751080356
1_5,circular,1.7,[np.float64(1.5973067182283291)],6124.535610159619
1_5,circular,1.6,[np.float64(1.617027427746621)],6077.252291230062
1_5,circular,1.2,[np.float64(5.736019873501769)],5892.182750581063
1_5,circular,1.3,[np.float64(5.597907545565684)],5937.8450079862405
1_5,circular,1.1,[np.float64(2.2688563949562197)],5846.915627524284
1_5,circular,1.0,[np.float64(2.2722688178294432)],5802.04038904845
1_5,circular,0.7,[np.float64(2.357065550049426)],5669.731587109984
1_5,circular,0.6,[np.float64(2.208506609134772)],5626.385814236463
1_5,circular,0.4,[np.float64(2.4569442868607005)],5540.795418467615
1_5,circular,0.5,[np.float64(1.6902736183622102)],5583.409058316141
1_5,circular,0.1,[np.float64(2.676443723821086)],5415.075233513352
1_5,circular,0.0,[np.float64(2.06398632475417)],5373.842552273964
1_5,circular,2.0,[np.float64(1.991388212892563)],6268.866975378122
1_5,circular,0.2,[np.float64(2.1283277367855176)],5456.637150316274
1_5,circular,0.3,[np.float64(5.408267185595995)],5498.541339199546
1_5,oval,0.8,[np.float64(1.9548974103917756)],4668.058919052182
1_5,oval,0.9,[np.float64(1.9699315897549086)],4699.335150721131
1_5,oval,1.8,[np.float64(2.11143230245199)],4993.2310094896175
1_5,oval,1.9,[np.float64(2.1332192908322845)],5027.19999246276
1_5,oval,1.7,[np.float64(2.1073241731166266)],4959.486264424657
1_5,oval,1.6,[np.float64(2.102587520800484)],4926.021604784992
1_5,oval,1.4,[np.float64(2.090802345124163)],4859.895098200817
1_5,oval,1.5,[np.float64(2.0970925851976228)],4892.8252273414255
1_5,oval,1.1,[np.float64(1.9933659196269709)],4762.735065113218
1_5,oval,1.0,[np.float64(1.9825760648429895)],4730.897770127129
1_5,oval,1.2,[np.float64(2.002567016429199)],4794.850348935428
1_5,oval,1.3,[np.float64(2.083534114771383)],4827.235494199355
1_5,oval,0.4,[np.float64(1.8103351634039038)],4546.162250060384
1_5,oval,0.5,[np.float64(1.8336131408077934)],4576.158410350334
1_5,oval,0.7,[np.float64(3.069054542232975)],4637.0797095314765
1_5,oval,0.6,[np.float64(1.9187837729824122)],4606.4628446218285
1_5,oval,2.0,[np.float64(2.1964139072704674)],5061.512147547302
1_5,oval,0.2,[np.float64(1.6893403535739664)],4487.125201501941
1_5,oval,0.3,[np.float64(1.7821009321923438)],4516.485414003384
1_5,oval,0.1,[np.float64(1.5397413978700507)],4458.079055195536
1_5,oval,0.0,[np.float64(1.4247320676990507)],4429.3648224167155
1_6,circular,0.4,[np.float64(1.0364885409862166)],4814.017877748151
1_6,circular,0.5,[np.float64(1.0375566766838304)],4847.704402022223
