Mesh ID,Cross-section type,Pressure,Cross section,Aspect Ratio
1_6,circular,0.7,"[[-2.65778e+00 -7.75256e-06]
 [-2.66162e+00  2.64037e-01]
 [-2.67312e+00  5.27847e-01]
 ...
 [-2.69228e+00 -7.91195e-01]
 [-2.67312e+00 -5.27856e-01]
 [-2.66162e+00 -2.64046e-01]]",0.9634158444378546
1_6,oval,0.6,"[[-3.34216e+00 -2.99787e-05]
 [-3.34493e+00  1.79591e-01]
 [-3.35326e+00  3.59232e-01]
 ...
 [-3.36714e+00 -5.38977e-01]
 [-3.35325e+00 -3.59294e-01]
 [-3.34492e+00 -1.79652e-01]]",1.0674052921802872
3_2,oval,1.8,"[[-1.81860e+00 -3.61040e-05]
 [-1.82218e+00  2.54314e-01]
 [-1.83292e+00  5.08551e-01]
 ...
 [-1.85085e+00 -7.62624e-01]
 [-1.83293e+00 -5.08615e-01]
 [-1.82219e+00 -2.54378e-01]]",0.995086151513222
1_3,circular,1.1,"[[-2.90370e+00  3.14508e-06]
 [-2.90767e+00  2.80843e-01]
 [-2.91956e+00  5.61426e-01]
 ...
 [-2.93938e+00 -8.41492e-01]
 [-2.91956e+00 -5.61423e-01]
 [-2.90767e+00 -2.80840e-01]]",0.953005154126851
1_8,oval,1.9,"[[-3.72396e+00 -2.89082e-06]
 [-3.72742e+00  2.34129e-01]
 [-3.72742e+00 -2.34134e-01]
 ...
 [-3.72396e+00  2.93056e-06]
 [-3.72742e+00  2.34134e-01]
 [-3.72742e+00 -2.34128e-01]]",0.9928906377843235
2_7,circular,1.1,"[[-2.46464e+00 -2.87561e-06]
 [-2.46824e+00  2.45094e-01]
 [-2.47904e+00  4.89966e-01]
 ...
 [-2.49703e+00 -7.34389e-01]
 [-2.47904e+00 -4.89966e-01]
 [-2.46824e+00 -2.45094e-01]]",0.9643667261519538
2_7,circular,1.0,"[[-2.49136e+00 -2.69206e-06]
 [-2.49493e+00  2.43381e-01]
 [-2.50564e+00  4.86542e-01]
 ...
 [-2.52347e+00 -7.29261e-01]
 [-2.50564e+00 -4.86542e-01]
 [-2.49493e+00 -2.43381e-01]]",0.9643256795339672
1_8,oval,1.8,"[[-3.73786e+00 -2.99379e-06]
 [-3.74130e+00  2.32560e-01]
 [-3.74130e+00 -2.32566e-01]
 ...
 [-3.73786e+00  2.54138e-06]
 [-3.74130e+00  2.32566e-01]
 [-3.74130e+00 -2.32561e-01]]",0.9942506382286591
1_3,circular,1.0,"[[-2.93608e+00  2.86734e-06]
 [-2.94001e+00  2.78355e-01]
 [-2.95181e+00  5.56455e-01]
 ...
 [-2.97147e+00 -8.34047e-01]
 [-2.95181e+00 -5.56452e-01]
 [-2.94001e+00 -2.78352e-01]]",0.9537654729606903
3_2,oval,1.9,"[[-1.79767e+00 -3.42152e-05]
 [-1.80127e+00  2.56160e-01]
 [-1.81208e+00  5.12239e-01]
 ...
 [-1.81208e+00  5.12247e-01]
 [-1.81208e+00 -5.12299e-01]
 [-1.80128e+00 -2.56220e-01]]",0.9936967962261307
1_6,oval,0.7,"[[-3.34494e+00 -3.28080e-05]
 [-3.34768e+00  1.80887e-01]
 [-3.35592e+00  3.61833e-01]
 ...
 [-3.36965e+00 -5.42895e-01]
 [-3.35591e+00 -3.61896e-01]
 [-3.34767e+00 -1.80949e-01]]",1.0614692577011886
1_6,circular,0.6,"[[-2.69339e+00 -5.17572e-06]
 [-2.69719e+00  2.61846e-01]
 [-2.70859e+00  5.23466e-01]
 ...
 [-2.72757e+00 -7.84626e-01]
 [-2.70859e+00 -5.23469e-01]
 [-2.69719e+00 -2.61849e-01]]",0.9637321534516086
