Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
3_7,0.01,21.98,24.74,0,0,0,0,3581.47,4073.96,3655.71,4287.06
3_7,0.11,21.98,28.49,0,0,0,0,3581.47,4073.96,3779.53,4484.61
3_7,0.21,21.98,30.02,0,0,0,0,3581.47,4073.96,3840.16,4567.39
3_7,0.31,21.98,31.11,0,0,0,0,3581.47,4073.96,3892.43,4635.57
3_7,0.41,21.98,31.81,0,0,0,0,3581.47,4073.96,3940.08,4697.47
3_7,0.51,21.98,32.35,0,0,0,0,3581.47,4073.96,3984.73,4755.87
3_7,0.61,21.98,32.8,0,0,0,0,3581.47,4073.96,4027.09,4812.5
3_7,0.71,21.98,33.18,0,0,0,0,3581.47,4073.96,4068.53,4867.23
3_7,0.81,21.98,33.38,0,0,0,0,3581.47,4073.96,4109.14,4920.62
3_7,0.91,21.98,33.68,0,0,0,0,3581.47,4073.96,4149.09,4972.96
