Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
3_3,0.21,6.84,12.69,0,0,0,0,3531.43,3736.69,4090.64,4204.2,1.5,2.7,5.8,6.6,1.5,2.7
3_3,0.31,6.84,13.8,0,0,0,0,3531.43,3736.69,4161.02,4275.49,1.5,2.8,5.8,6.7,1.5,2.8
3_3,0.41,6.84,14.74,0,0,0,0,3531.43,3736.69,4226.74,4340.92,1.5,3,5.8,6.8,1.5,3
3_3,0.51,6.84,15.52,0,0,0,0,3531.43,3736.69,4291.19,4402.86,1.5,3.1,5.8,6.8,1.5,3.1
3_3,0.61,6.84,16.28,0,0,0,0,3531.43,3736.69,4351.2,4465.16,1.5,3.2,5.8,7,1.5,3.2
3_3,0.71,6.84,16.97,0,0,0,0,3531.43,3736.69,4412.35,4524.1,1.5,3.3,5.8,7,1.5,3.3
3_3,0.81,6.84,17.63,0,0,0,0,3531.43,3736.69,4472.7,4582.75,1.5,3.4,5.8,7,1.5,3.4
3_3,0.91,6.84,18.18,0,0,0,0,3531.43,3736.69,4532.43,4640.81,1.5,3.4,5.8,7.1,1.5,3.4
3_4,0.01,23.39,28.78,0,0,0,0,3748.51,3814.46,3948.02,4049.17,2.9,3.7,11.3,11,2.9,3.7
3_4,0.11,23.39,37.13,0,0,0,0,3748.51,3814.46,4128.81,4229.67,2.9,4.6,11.3,11,2.9,4.6
3_4,0.21,23.39,41.11,0,0,0,0,3748.51,3814.46,4213.58,4309.1,2.9,5,11.3,11.1,2.9,5
3_4,0.31,23.39,44.06,0,0,0,0,3748.51,3814.46,4280.07,4380.67,2.9,5.3,11.3,11.2,2.9,5.3
3_4,0.41,23.39,46.57,0,0,0,0,3748.51,3814.46,4341.15,4448.31,2.9,5.5,11.3,11.3,2.9,5.5
3_4,0.51,23.39,48.7,0,0,0,0,3748.51,3814.46,4400.66,4512.43,2.9,5.7,11.3,11.4,2.9,5.7
3_4,0.61,23.39,50.74,0,0,0,0,3748.51,3814.46,4458.69,4574.33,2.9,5.9,11.3,11.5,2.9,5.9
3_4,0.71,23.39,52.54,0,0,0,0,3748.51,3814.46,4515.24,4635.21,2.9,6,11.3,11.6,2.9,6
3_4,0.81,23.39,54.29,0,0,0,0,3748.51,3814.46,4571.09,4695.05,2.9,6.1,11.3,11.7,2.9,6.1
3_4,0.91,23.39,55.79,0,0,0,0,3748.51,3814.46,4626.19,4753.96,2.9,6.2,11.3,11.8,2.9,6.2
3_6,0.01,36.18,44.3,0,0,0,0,4294.66,4244.57,4671.28,4601.81,3.7,4.8,11.5,11.7,3.7,4.8
3_6,0.11,36.18,56.23,0,0,0,0,4294.66,4244.57,4909.46,4849.4,3.7,5.7,11.5,12.4,3.7,5.7
3_6,0.21,36.18,61.76,0,0,0,0,4294.66,4244.57,5009.94,4950.87,3.7,6.2,11.5,12.7,3.7,6.2
3_6,0.31,36.18,65.81,0,0,0,0,4294.66,4244.57,5095.43,5036.84,3.7,6.5,11.5,12.9,3.7,6.5
3_6,0.41,36.18,69.41,0,0,0,0,4294.66,4244.57,5176.42,5116.59,3.7,6.7,11.5,13.1,3.7,6.7
3_6,0.51,36.18,72.52,0,0,0,0,4294.66,4244.57,5253.27,5193.67,3.7,6.9,11.5,13.3,3.7,6.9
3_6,0.61,36.18,75.35,0,0,0,0,4294.66,4244.57,5329.78,5265.88,3.7,7.2,11.5,13.4,3.7,7.2
3_6,0.71,36.18,77.96,0,0,0,0,4294.66,4244.57,5403.21,5337.8,3.7,7.3,11.5,13.5,3.7,7.3
3_6,0.81,36.18,80.28,0,0,0,0,4294.66,4244.57,5475.6,5408.86,3.7,7.5,11.5,13.7,3.7,7.5
