Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
1_5,0.21,48.79,64.87,0,0,0,0,4178.16,4646.45,4916.03,5389.52,5.2,6.8,13.2,13.3,5.2,6.8
1_5,0.31,48.79,67.03,0,0,0,0,4178.16,4646.45,5003.31,5486.44,5.2,6.9,13.2,13.3,5.2,6.9
1_5,0.41,48.79,68.51,0,0,0,0,4178.16,4646.45,5080.85,5570.9,5.2,7,13.2,13.4,5.2,7
1_5,0.51,48.79,69.78,0,0,0,0,4178.16,4646.45,5151.45,5648.3,5.2,7.1,13.2,13.5,5.2,7.1
1_5,0.61,48.79,70.86,0,0,0,0,4178.16,4646.45,5217.63,5722.65,5.2,7.2,13.2,13.5,5.2,7.2
1_5,0.71,48.79,71.63,0,0,0,0,4178.16,4646.45,5280.72,5793.86,5.2,7.2,13.2,13.5,5.2,7.2
1_5,0.81,48.79,72.5,0,0,0,0,4178.16,4646.45,5343.06,5863.08,5.2,7.3,13.2,13.6,5.2,7.3
1_5,0.91,48.79,73.13,0,0,0,0,4178.16,4646.45,5403.8,5931.2,5.2,7.3,13.2,13.6,5.2,7.3
1_6,0.01,53.5,61.67,0,0,0,0,3788.08,3668.02,4086.55,3833.98,4.9,5.6,16.5,16.2,4.9,5.6
1_6,0.11,53.5,71.15,0,0,0,0,3788.08,3668.02,4322.84,4033.21,4.9,6.3,16.5,16.1,4.9,6.3
1_6,0.21,53.5,74.85,0,0,0,0,3788.08,3668.02,4412.63,4116.36,4.9,6.6,16.5,16.2,4.9,6.6
1_6,0.31,53.5,77.29,0,0,0,0,3788.08,3668.02,4484.1,4180.59,4.9,6.7,16.5,16.3,4.9,6.7
1_6,0.41,53.5,78.98,0,0,0,0,3788.08,3668.02,4546.79,4235.21,4.9,6.8,16.5,16.4,4.9,6.8
1_6,0.51,53.5,80.46,0,0,0,0,3788.08,3668.02,4603.83,4285.49,4.9,6.9,16.5,16.4,4.9,6.9
1_6,0.61,53.5,81.59,0,0,0,0,3788.08,3668.02,4657.47,4332.97,4.9,6.9,16.5,16.4,4.9,6.9
1_6,0.71,53.5,82.57,0,0,0,0,3788.08,3668.02,4709.55,4378.43,4.9,7,16.5,16.4,4.9,7
1_6,0.81,53.5,83.34,0,0,0,0,3788.08,3668.02,4759.85,4422.43,4.9,7,16.5,16.4,4.9,7
1_6,0.91,53.5,83.99,0,0,0,0,3788.08,3668.02,4808.84,4465.83,4.9,7,16.5,16.5,4.9,7
1_8,0.01,65.29,67.37,0,0,0,0,3560.49,3743.82,3726.51,3919.81,9.1,9.3,8.5,8.7,8.5,8.7
1_8,0.11,65.29,72.49,0,0,0,0,3560.49,3743.82,3902.17,4120.13,9.1,9.7,8.5,9.1,8.5,9.1
1_8,0.21,65.29,74.81,0,0,0,0,3560.49,3743.82,3975.33,4209.83,9.1,9.9,8.5,9.3,8.5,9.3
1_8,0.31,65.29,76.53,0,0,0,0,3560.49,3743.82,4035.81,4277.98,9.1,10,8.5,9.4,8.5,9.4
1_8,0.41,65.29,77.75,0,0,0,0,3560.49,3743.82,4087.79,4339.06,9.1,10.1,8.5,9.5,8.5,9.5
1_8,0.51,65.29,78.94,0,0,0,0,3560.49,3743.82,4136.24,4395.2,9.1,10.2,8.5,9.6,8.5,9.6
1_8,0.61,65.29,79.7,0,0,0,0,3560.49,3743.82,4181.84,4448.41,9.1,10.2,8.5,9.6,8.5,9.6
1_8,0.71,65.29,80.54,0,0,0,0,3560.49,3743.82,4226.35,4498.73,9.1,10.3,8.5,9.7,8.5,9.7
1_8,0.81,65.29,81.23,0,0,0,0,3560.49,3743.82,4269.95,4547.41,9.1,10.3,8.5,9.7,8.5,9.7
1_8,0.91,65.29,81.75,0,0,0,0,3560.49,3743.82,4312.44,4595,9.1,10.4,8.5,9.7,8.5,9.7
2_1,0.01,73.55,75.79,0,0,0,0,2982.92,2924.95,3148.71,3080.86,9.1,9.5,10.8,10.7,9.1,9.5
2_1,0.11,73.55,79.96,0,0,0,0,2982.92,2924.95,3294.68,3239.89,9.1,10,10.8,10.7,9.1,10
2_1,0.21,73.55,82.13,0,0,0,0,2982.92,2924.95,3354.26,3306.88,9.1,10.2,10.8,10.8,9.1,10.2
