Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_5,oval,0.3,[np.float64(1.7821009321923438)],56.7409
1_5,oval,0.1,[np.float64(1.5397413978700507)],54.67100000000001
1_5,oval,0.0,[np.float64(1.4247320676990507)],49.1008
1_6,circular,0.4,[np.float64(1.0364885409862166)],55.180299999999995
1_6,circular,0.5,[np.float64(1.0375566766838304)],54.3686
1_6,circular,0.7,[np.float64(1.0385390417329508)],52.718500000000006
1_6,circular,0.6,[np.float64(1.0382009662783462)],53.5427
1_6,circular,0.2,[np.float64(1.0312926741358712)],56.4771
1_6,circular,2.0,[np.float64(1.0375092829896437)],44.2608
1_6,circular,0.3,[np.float64(1.03455802937071)],55.92770000000001
1_6,circular,0.1,[np.float64(1.0253506207780347)],56.6453
1_6,circular,0.0,[np.float64(1.0000025340545253)],53.48480000000001
1_6,circular,1.7,[np.float64(1.03800911976924)],45.8082
1_6,circular,1.6,[np.float64(1.0381542136571542)],46.392700000000005
1_6,circular,1.4,[np.float64(1.0384502718931352)],47.63230000000001
1_6,circular,1.5,[np.float64(1.0383032348257555)],46.99900000000001
1_6,circular,1.1,[np.float64(1.038819966517706)],49.64640000000001
1_6,circular,1.0,[np.float64(1.038821212121085)],50.4003
1_6,circular,1.2,[np.float64(1.0387045737902683)],48.9371
1_6,circular,1.3,[np.float64(1.0385979282761288)],48.27140000000001
1_6,circular,1.8,[np.float64(1.0378474894495917)],45.2936
1_6,circular,1.9,[np.float64(1.0376593935475629)],44.7609
1_6,circular,0.8,[np.float64(1.0387505689773928)],51.9014
1_6,circular,0.9,[np.float64(1.0388401905332587)],51.1313
1_6,oval,0.5,[np.float64(1.0794620984139591)],68.9367
1_6,oval,0.4,[np.float64(1.0888248225075428)],68.4554
1_6,oval,0.6,[np.float64(1.0706832797440722)],69.2984
1_6,oval,0.7,[np.float64(1.0616761167614674)],69.5081
1_6,oval,0.3,[np.float64(1.1008167860149045)],67.7612
1_6,oval,2.0,[np.float64(1.0118771220894367)],68.473
