Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
idealised_final_1_3,circular,0.2,[np.float64(0.9852801594737753)],45.249700000000004
idealised_final_1_3,circular,1.2,[np.float64(0.9386859790636924)],44.060100000000006
idealised_final_2_3,circular,0.9,[np.float64(0.9544003290630187)],73.3296
idealised_final_1_5,circular,0.4,[np.float64(0.9682736608889951)],50.0333
idealised_final_1_6,circular,0.5,[np.float64(0.9737354202152085)],55.9749
idealised_final_3_7,oval,0.7,[np.float64(1.3776465442863237)],32.4133
idealised_final_1_4,oval,1.8,[np.float64(1.0324022331585136)],48.062
idealised_final_1_3,oval,1.6,[np.float64(1.08440897862985)],51.35640000000001
idealised_final_2_7,oval,1.7,[np.float64(1.0697427070046979)],60.136500000000005
idealised_final_2_3,oval,1.9,[np.float64(1.0581991578376142)],83.3052
idealised_final_3_6,circular,0.3,[np.float64(1.0048793237812355)],40.397200000000005
idealised_final_3_2,oval,0.3,[np.float64(1.1548045755576735)],24.172800000000002
idealised_final_2_3,oval,1.7,[np.float64(1.0672151827338954)],82.9418
idealised_final_3_2,oval,0.5,[np.float64(1.1173547271910726)],24.697300000000002
idealised_final_1_3,circular,0.4,[np.float64(0.9707545129816858)],45.1278
idealised_final_1_5,oval,0.8,[np.float64(1.1548310047622394)],56.017700000000005
idealised_final_3_2,circular,1.7,[np.float64(1.083255847305937)],22.242200000000004
idealised_final_2_6a,oval,0.9,[np.float64(1.1970352890872986)],23.9738
idealised_final_3_4,oval,0.7,[np.float64(1.0175972504932573)],26.745300000000004
idealised_final_2_1,oval,1.8,[np.float64(1.0631195646858391)],81.7252
idealised_final_3_4,oval,0.1,[np.float64(1.0910549765589357)],25.0168
idealised_final_2_1,oval,1.4,[np.float64(1.0839566587992349)],80.9705
idealised_final_1_6,circular,0.8,[np.float64(0.9591601217101757)],55.961400000000005
idealised_final_1_8,circular,0.8,[np.float64(0.9556116645631108)],65.5678
idealised_final_2_1,oval,1.3,[np.float64(1.0904658922557093)],80.7283
idealised_final_3_2,circular,2.0,[np.float64(1.0902740838336489)],21.9498
idealised_final_2_1,circular,1.7,[np.float64(0.9439979162319835)],71.3704
idealised_final_1_5,oval,1.4,[np.float64(1.093062101625534)],57.3878
idealised_final_3_2,circular,1.5,[np.float64(1.078040863871167)],22.427400000000002
idealised_final_1_3,oval,1.0,[np.float64(1.133937138618812)],50.383
