Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
1_2,0.82,40.54,82.95,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4424.14,4671.26
1_2,0.83,40.54,83.19,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4429.49,4677.25
1_2,0.839999,40.54,83.35,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4434.74,4683.29
1_2,0.849999,40.54,83.61,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4440.07,4689.27
1_2,0.859999,40.54,83.8,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4445.4,4695.25
1_2,0.869999,40.54,84.02,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4450.74,4701.21
1_2,0.879999,40.54,84.14,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4456.04,4707.17
1_2,0.889999,40.54,84.39,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4461.33,4713.11
1_2,0.899999,40.54,84.65,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4466.61,4719.06
1_2,0.909999,40.54,84.88,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4471.89,4725
1_2,0.919999,40.54,85.11,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4477.16,4730.93
1_2,0.929999,40.54,85.27,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4482.42,4736.86
1_2,0.939999,40.54,85.46,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4487.67,4742.82
1_2,0.949999,40.54,85.71,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4492.93,4748.73
1_2,0.959999,40.54,85.89,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4498.18,4754.63
1_2,0.969999,40.54,86.11,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4503.43,4760.53
1_2,0.979999,40.54,86.39,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4508.68,4766.42
1_2,0.989999,40.54,86.61,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4513.93,4772.31
1_2,0.999999,40.54,86.78,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4519.17,4778.2
1_3,0.01,40.49,47.51,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3763.58,3906.81
1_3,0.02,40.49,49.69,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3826.8,3970.19
1_3,0.03,40.49,51.31,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3862.61,4007.95
1_3,0.04,40.49,52.53,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3888.34,4036.7
1_3,0.05,40.49,53.78,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3916.69,4056.63
1_3,0.06,40.49,54.7,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3935.24,4074.28
1_3,0.07,40.49,55.68,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3949.81,4091.54
1_3,0.08,40.49,56.42,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3961.84,4105.25
1_3,0.09,40.49,57.4,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3973.85,4118.25
1_3,0.1,40.49,58.01,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3983.39,4131.82
1_3,0.11,40.49,58.69,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3993.13,4144.66
1_3,0.12,40.49,59.39,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4002.65,4155.76
1_3,0.13,40.49,60.03,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4011.03,4167.05
1_3,0.14,40.49,60.62,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4019.18,4177.61
1_3,0.15,40.49,61.23,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4027.08,4188.21
1_3,0.16,40.49,61.81,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4033.78,4199.55
1_3,0.17,40.49,62.23,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4041.36,4210.57
1_3,0.18,40.49,62.78,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4048.68,4220.13
1_3,0.19,40.49,63.33,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4056.74,4228.63
1_3,0.2,40.49,63.84,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4064.17,4237.65
1_3,0.21,40.49,64.37,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4071.7,4247.1
1_3,0.22,40.49,64.75,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4077.84,4256.99
1_3,0.23,40.49,65.29,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4084.52,4265.74
1_3,0.24,40.49,65.7,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4090.72,4274.73
1_3,0.25,40.49,66.1,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4097.94,4282.81
1_3,0.26,40.49,66.39,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4104.23,4291.22
1_3,0.27,40.49,66.88,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4110.38,4299.97
1_3,0.28,40.49,67.29,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4116.84,4308.39
1_3,0.29,40.49,67.68,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4123.04,4317.3
1_3,0.3,40.49,67.98,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4128.7,4326.24
1_3,0.31,40.49,68.49,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4135.3,4333.88
1_3,0.32,40.49,68.9,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4140.76,4342.32
1_3,0.33,40.49,69.21,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4146.97,4349.67
1_3,0.34,40.49,69.56,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4153.06,4357.64
1_3,0.35,40.49,69.9,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4159.19,4364.93
1_3,0.36,40.49,70.27,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4165.23,4372.49
1_3,0.37,40.49,70.66,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4171.58,4379.53
1_3,0.38,40.49,70.91,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4177.42,4387.06
1_3,0.39,40.49,71.25,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4183.77,4394.03
1_3,0.4,40.49,71.66,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4189.87,4401.25
1_3,0.41,40.49,71.9,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4195.42,4409.09
1_3,0.42,40.49,72.24,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4201.28,4416.26
1_3,0.43,40.49,72.57,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4207,4423.32
1_3,0.44,40.49,72.89,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4212.91,4430.18
1_3,0.45,40.49,73.18,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4218.96,4436.93
1_3,0.46,40.49,73.51,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4224.76,4443.68
1_3,0.47,40.49,73.88,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4231.08,4450.38
1_3,0.48,40.49,74.14,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4236.85,4456.94
1_3,0.49,40.49,74.43,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4242.55,4463.77
