Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
2_6b,0.71,13.99,21.7,0,0,0,0,3113.3,2725.99,4095.1,3548.1
2_6b,0.81,13.99,22.21,0,0,0,0,3113.3,2725.99,4149.73,3590.7
2_6b,0.91,13.99,22.69,0,0,0,0,3113.3,2725.99,4203.39,3632.74
2_7a,0.01,48.23,52.71,0,0,0,0,3109.56,2828.75,3282.16,2999.84
2_7a,0.11,48.23,61.29,0,0,0,0,3109.56,2828.75,3466.98,3159.38
2_7a,0.21,48.23,65.98,0,0,0,0,3109.56,2828.75,3535.11,3228.8
2_7a,0.31,48.23,69.56,0,0,0,0,3109.56,2828.75,3588.58,3283.63
2_7a,0.41,48.23,72.71,0,0,0,0,3109.56,2828.75,3637.76,3331.79
2_7a,0.51,48.23,75.29,0,0,0,0,3109.56,2828.75,3683.62,3376.65
2_7a,0.61,48.23,77.62,0,0,0,0,3109.56,2828.75,3726.05,3420.81
2_7a,0.71,48.23,79.81,0,0,0,0,3109.56,2828.75,3770.47,3462.66
2_7a,0.81,48.23,81.89,0,0,0,0,3109.56,2828.75,3812.87,3503.59
2_7a,0.91,48.23,83.88,0,0,0,0,3109.56,2828.75,3854.89,3544.01
3_1,0.01,21.94,24.08,0,0,0,0,3301.1,3128.33,3489.38,3317.39
3_1,0.11,21.94,27.79,0,0,0,0,3301.1,3128.33,3654.92,3459.96
3_1,0.21,21.94,29.82,0,0,0,0,3301.1,3128.33,3728.35,3525.22
3_1,0.31,21.94,31.51,0,0,0,0,3301.1,3128.33,3789.22,3581.45
3_1,0.41,21.94,32.9,0,0,0,0,3301.1,3128.33,3843.9,3633.39
3_1,0.51,21.94,34.16,0,0,0,0,3301.1,3128.33,3897.1,3680.46
3_1,0.61,21.94,35.14,0,0,0,0,3301.1,3128.33,3948.49,3725.1
3_1,0.71,21.94,36.24,0,0,0,0,3301.1,3128.33,3999.41,3768.98
3_1,0.81,21.94,37.19,0,0,0,0,3301.1,3128.33,4047.8,3813.67
3_1,0.91,21.94,38.19,0,0,0,0,3301.1,3128.33,4096.43,3857.67
3_2,0.01,20.81,25.83,0,0,0,0,3754.81,3657.4,3986.79,3895.68
3_2,0.11,20.81,33.59,0,0,0,0,3754.81,3657.4,4189.16,4115.89
3_2,0.21,20.81,37.54,0,0,0,0,3754.81,3657.4,4279.79,4200.41
3_2,0.31,20.81,40.62,0,0,0,0,3754.81,3657.4,4356.37,4271.63
3_2,0.41,20.81,43.01,0,0,0,0,3754.81,3657.4,4425.01,4337.93
3_2,0.51,20.81,45.33,0,0,0,0,3754.81,3657.4,4490.16,4400.69
3_2,0.61,20.81,47.21,0,0,0,0,3754.81,3657.4,4551.71,4462.69
3_2,0.71,20.81,49.04,0,0,0,0,3754.81,3657.4,4613.57,4522.95
3_2,0.81,20.81,50.66,0,0,0,0,3754.81,3657.4,4673.29,4581.67
3_2,0.91,20.81,52.15,0,0,0,0,3754.81,3657.4,4732.51,4639.4
3_3,0.01,6.84,8.35,0,0,0,0,3531.43,3736.69,3820.71,3960.71
3_3,0.11,6.84,11.24,0,0,0,0,3531.43,3736.69,4015.2,4116.24
3_3,0.21,6.84,12.65,0,0,0,0,3531.43,3736.69,4094.42,4199.29
3_3,0.31,6.84,13.75,0,0,0,0,3531.43,3736.69,4161.4,4274.25
3_3,0.41,6.84,14.75,0,0,0,0,3531.43,3736.69,4228.67,4338.93
3_3,0.51,6.84,15.51,0,0,0,0,3531.43,3736.69,4292.79,4401.62
3_3,0.61,6.84,16.3,0,0,0,0,3531.43,3736.69,4353.2,4464.03
3_3,0.71,6.84,16.91,0,0,0,0,3531.43,3736.69,4413.35,4523.67
3_3,0.81,6.84,17.55,0,0,0,0,3531.43,3736.69,4473.22,4582.58
3_3,0.91,6.84,18.14,0,0,0,0,3531.43,3736.69,4532.42,4640.83
3_4,0.01,23.45,28.86,0,0,0,0,3748.51,3814.46,3950.66,4051.35
3_4,0.11,23.45,37.11,0,0,0,0,3748.51,3814.46,4129.53,4229.07
3_4,0.21,23.45,41.03,0,0,0,0,3748.51,3814.46,4212.72,4309.93
3_4,0.31,23.45,44.14,0,0,0,0,3748.51,3814.46,4279.06,4381.17
3_4,0.41,23.45,46.6,0,0,0,0,3748.51,3814.46,4340.44,4448.55
3_4,0.51,23.45,48.8,0,0,0,0,3748.51,3814.46,4401.07,4512.28
3_4,0.61,23.45,50.71,0,0,0,0,3748.51,3814.46,4458.64,4574.33
3_4,0.71,23.45,52.63,0,0,0,0,3748.51,3814.46,4515.22,4635.21
3_4,0.81,23.45,54.18,0,0,0,0,3748.51,3814.46,4571.09,4695.05
3_4,0.91,23.45,55.84,0,0,0,0,3748.51,3814.46,4626.19,4753.96
3_6,0.01,36.19,44.29,0,0,0,0,4294.66,4244.57,4670.64,4593.75
3_6,0.11,36.19,56.17,0,0,0,0,4294.66,4244.57,4910.46,4850.28
3_6,0.21,36.19,61.62,0,0,0,0,4294.66,4244.57,5009.85,4950.17
3_6,0.31,36.19,65.89,0,0,0,0,4294.66,4244.57,5097.27,5036.09
3_6,0.41,36.19,69.46,0,0,0,0,4294.66,4244.57,5178.1,5115.61
3_6,0.51,36.19,72.49,0,0,0,0,4294.66,4244.57,5255.37,5192.1
3_6,0.61,36.19,75.47,0,0,0,0,4294.66,4244.57,5329.99,5265.91
3_6,0.71,36.19,77.99,0,0,0,0,4294.66,4244.57,5403.29,5337.68
3_6,0.81,36.19,80.37,0,0,0,0,4294.66,4244.57,5475.35,5408.76
3_6,0.91,36.19,82.56,0,0,0,0,4294.66,4244.57,5547.1,5479.57
3_7,0.01,21.95,25.99,0,0,0,0,3581.47,4073.96,3680.26,4339.83
3_7,0.11,21.95,32.24,0,0,0,0,3581.47,4073.96,3802.98,4528.77
3_7,0.21,21.95,35.56,0,0,0,0,3581.47,4073.96,3867.95,4619.83
3_7,0.31,21.95,37.99,0,0,0,0,3581.47,4073.96,3924.02,4701.02
3_7,0.41,21.95,40.03,0,0,0,0,3581.47,4073.96,3977.72,4774.44
3_7,0.51,21.95,41.87,0,0,0,0,3581.47,4073.96,4027.2,4846.73
3_7,0.61,21.95,43.55,0,0,0,0,3581.47,4073.96,4075.65,4916.28
3_7,0.71,21.95,45.04,0,0,0,0,3581.47,4073.96,4123.68,4983.86
3_7,0.81,21.95,46.41,0,0,0,0,3581.47,4073.96,4171.71,5050.69
3_7,0.91,21.95,47.67,0,0,0,0,3581.47,4073.96,4219.86,5116.85
